# {"env_id": "MobileDualUR5HuskyPickAndPlaceGym-v1", "t_start": 1575578546.9829633} 
r,l,t
-182.040174,100,434.505316
-68.57143,100,436.136822
-91.324364,100,437.839874
-158.403426,100,439.448575
-74.994155,100,441.143947
-110.298491,100,443.373704
-129.713972,100,445.042661
-91.08728,100,446.685925
-73.795287,100,448.272645
-61.008749,100,449.888385
-84.26014,100,451.5349
-78.301291,100,453.111186
-46.055073,100,454.7346
-116.745965,100,456.453138
-95.886288,100,458.167852
-68.231405,100,459.76509
-81.94198,100,461.348556
-68.547677,100,463.090946
-92.656835,100,464.834233
-65.679994,100,466.507146
-87.42536,100,468.359554
-126.005996,100,469.953763
-118.325047,100,471.665429
-1105.441785,100,473.042135
-63.634128,100,474.754274
-147.484719,100,476.436416
-79.58448,100,478.612106
-46.018048,100,480.21735
-97.465212,100,482.021483
-79.68279,100,483.697891
-89.047463,100,485.474289
-63.507421,100,487.18946
-101.990822,100,488.977498
-101.796248,100,490.759133
-139.848568,100,492.285
-46.530467,100,493.989306
-66.229774,100,495.692409
-132.603013,100,497.407204
-1087.34931,100,498.950776
-121.077514,100,500.653954
-57.073269,100,502.419168
-83.803496,100,503.996052
-51.505135,100,505.756846
-83.597779,100,507.501848
-158.79557,100,509.285208
-86.418369,100,510.937557
-123.007645,100,513.167664
-82.215881,100,514.901068
-147.068873,100,516.545051
-80.097468,100,518.187368
-72.465821,100,519.980013
-94.556085,100,521.748811
-80.106694,100,523.398654
-78.44898,100,525.051067
-133.773848,100,526.522734
-81.632513,100,528.203721
-71.562758,100,530.065532
-63.303908,100,531.838524
-52.315129,100,533.609106
-40.44548,100,535.28411
-86.38102,100,537.125038
-121.887888,100,538.75256
-72.792749,100,540.622369
-62.497072,100,542.415419
-73.451773,100,544.1447
-141.693645,100,545.831064
-105.68405,100,547.661318
-101.019401,100,549.86833
-105.355738,100,551.614709
-77.688102,100,553.316237
-107.373755,100,555.034015
-129.076597,100,556.568779
-96.058069,100,558.440031
-76.398327,100,560.230725
-80.77815,100,561.996393
-75.188246,100,563.778702
-91.417834,100,565.428714
-56.039017,100,567.165965
-45.180144,100,568.880944
-58.29654,100,570.541966
-73.104062,100,572.151847
-59.775822,100,573.828234
-1097.384468,100,575.263295
-118.182346,100,576.995316
-59.609186,100,578.704401
-52.683923,100,580.371129
-98.373791,100,581.999279
-96.6505,100,584.220468
-79.84041,100,585.867946
-146.052336,100,587.57214
-85.806471,100,589.214656
-166.586315,100,590.951466
-54.389027,100,592.659683
-59.891951,100,594.359515
-97.527498,100,596.09778
-1127.27435,100,597.432554
-155.223123,100,599.075398
-150.39764,100,600.783104
-165.672502,100,602.393049
-47.994092,100,604.088047
-140.919042,100,605.592719
-60.55213,100,607.251297
-91.090071,100,608.940343
-78.881963,100,610.61635
-86.317273,100,612.408177
-83.451381,100,614.102186
-114.647103,100,615.861297
-69.516136,100,617.507463
-48.425925,100,619.705415
-100.713813,100,621.414424
-83.111748,100,623.066037
-92.08161,100,624.774635
-113.671021,100,626.371984
-82.116501,100,627.975939
-102.688697,100,629.478979
-62.720187,100,631.172909
-1124.294861,100,632.372237
-58.145161,100,634.010797
-76.949652,100,635.755842
-131.215225,100,637.310191
-64.106242,100,639.004434
-83.286791,100,640.68686
-73.591644,100,642.431146
-84.584952,100,644.072462
-87.164678,100,645.801301
-61.993161,100,647.49965
-71.215399,100,649.209897
-64.683055,100,650.996449
-77.500391,100,653.201549
-1105.567434,100,654.645982
-78.458219,100,656.421707
-81.348264,100,658.080682
-81.856216,100,659.750015
-62.765125,100,661.397693
-68.323113,100,663.095687
-112.510821,100,664.768486
-79.690197,100,666.437592
-1127.736006,100,667.741746
-55.348232,100,669.341539
-66.416833,100,671.084309
-135.218151,100,672.807903
-158.025918,100,674.456873
-63.726388,100,676.124267
-75.373251,100,677.764591
-51.796437,100,679.536523
-89.066434,100,681.189982
-150.494144,100,682.768432
-174.742047,100,684.536534
-88.207868,100,686.265147
-82.421542,100,688.537248
-79.266294,100,690.192384
-123.921735,100,691.803771
-65.955325,100,693.468654
-81.2392,100,695.195885
-101.526073,100,696.827219
-130.271993,100,698.366935
-85.688915,100,699.982328
-53.669863,100,701.614138
-142.743803,100,703.182538
-59.165117,100,704.823691
-58.974539,100,706.519695
-78.989716,100,708.233936
-105.608278,100,709.98513
-100.737687,100,711.746931
-61.743574,100,713.435296
-81.035514,100,715.143542
-154.915892,100,716.791195
-69.741616,100,718.440874
-90.002018,100,720.171959
-101.368788,100,722.420923
-81.978811,100,724.070103
-137.630542,100,725.811286
-100.436551,100,727.458498
-139.885014,100,729.131707
-102.223578,100,730.823244
-78.997172,100,732.565238
-81.840931,100,734.285323
-72.606923,100,735.994181
-137.945143,100,737.495805
-72.123319,100,739.246551
-69.958966,100,740.979144
-55.065513,100,742.749475
-79.467682,100,744.377517
-56.783632,100,746.044872
-75.148036,100,747.704965
-126.389427,100,749.453735
-107.02331,100,751.09234
-71.998665,100,752.832532
-78.971643,100,754.467953
-141.758455,100,756.18474
-78.377264,100,758.420818
-66.455205,100,760.086022
-79.650216,100,761.761955
-75.135198,100,763.531651
-91.20308,100,765.242762
-64.395358,100,766.871444
-76.69856,100,768.596549
-73.688369,100,770.250028
-121.365109,100,771.748992
-76.406017,100,773.36221
-88.563779,100,775.080414
-83.205967,100,776.683904
-85.878788,100,778.434766
-64.827254,100,780.100657
-107.177147,100,781.855053
-1113.265829,100,783.244404
-83.316673,100,784.932095
-88.061587,100,786.793926
-169.00271,100,788.396005
-77.543986,100,790.058621
-107.052378,100,792.196572
-69.900134,100,793.914736
-83.756485,100,795.610094
-137.45414,100,797.219415
-67.676037,100,798.881107
-74.820662,100,800.519736
-59.658219,100,802.134512
-75.981551,100,803.816815
-59.231821,100,805.481602
-176.096872,100,807.07099
-83.86952,100,808.814815
-66.213808,100,810.468932
-124.204211,100,812.012055
-142.441795,100,813.525805
-85.826806,100,815.227335
-126.584986,100,816.734252
-94.52603,100,818.375835
-71.311475,100,820.008896
-78.835133,100,821.706411
-91.443533,100,823.357089
-73.146027,100,825.035579
-87.610546,100,827.229329
-75.570479,100,828.834728
-155.987427,100,830.367007
-71.705555,100,832.044644
-166.345297,100,833.683012
-85.5088,100,835.329755
-93.030255,100,836.962732
-67.605889,100,838.582216
-88.097065,100,840.226076
-1101.645712,100,841.63733
-151.021529,100,843.292102
-162.853746,100,844.903473
-94.338668,100,846.514518
-69.243556,100,848.18981
-159.503789,100,849.80178
-1115.856454,100,851.106733
-68.865089,100,852.781076
-156.303009,100,854.398739
-66.033314,100,856.056027
-122.667415,100,857.711763
-152.128515,100,859.985404
-1119.409584,100,861.365243
-70.24702,100,863.105569
-64.815105,100,864.760912
-76.145193,100,866.378791
-82.956946,100,868.02139
-81.633477,100,869.685807
-67.149648,100,871.37559
-97.845891,100,873.110395
-76.206476,100,874.849365
-83.529564,100,876.474785
-134.172758,100,878.041217
-61.299402,100,879.70693
-89.638703,100,881.414857
-74.534574,100,883.049509
-99.936842,100,884.639138
-76.330984,100,886.259165
-81.506525,100,887.904658
-77.637389,100,889.641351
-53.367947,100,891.397859
-108.461108,100,893.113814
-82.006641,100,895.353886
-68.150091,100,897.032801
-91.198047,100,898.657971
-178.038664,100,900.362901
-151.658767,100,902.010131
-88.099127,100,903.673941
-70.234186,100,905.467332
-58.649453,100,907.098536
-63.65968,100,908.777503
-85.758623,100,910.422069
-76.35362,100,912.08046
-149.727059,100,913.551931
-56.149503,100,915.25446
-72.320656,100,916.980747
-154.359201,100,918.573746
-77.4961,100,920.297641
-71.446503,100,921.958153
-79.174206,100,923.602386
-74.418843,100,925.319089
-91.971326,100,926.967646
-126.873706,100,929.10937
-79.976903,100,930.798426
-127.596009,100,932.368646
-56.464967,100,934.158059
-77.806797,100,935.88722
-82.523081,100,937.550874
-71.580725,100,939.252403
-70.075181,100,940.960699
-65.395556,100,942.624682
-1073.284994,100,944.115919
-120.081228,100,945.675419
-87.012299,100,947.274402
-65.763486,100,948.886145
-160.138414,100,950.47006
-104.576477,100,952.182263
-80.385719,100,953.840087
-58.426233,100,955.495944
-141.949456,100,956.965755
-62.886756,100,958.659937
-78.329408,100,960.405394
-73.199802,100,962.632793
-74.288081,100,964.357831
-67.834618,100,966.037369
-148.775222,100,967.618643
-92.227247,100,969.311439
-73.316335,100,970.981003
-81.106261,100,972.69219
-90.666862,100,974.339803
-71.737841,100,975.987486
-134.945793,100,977.5109
-63.208865,100,979.172355
-60.784075,100,980.897442
-73.793586,100,982.640827
-122.554597,100,984.310048
-161.676984,100,986.019148
-138.080696,100,987.734019
-141.196415,100,989.416411
-75.814764,100,991.061175
-139.828653,100,992.540294
-87.837413,100,994.168597
-66.892104,100,995.834935
-71.737364,100,998.13262
-65.248681,100,999.802374
-70.339787,100,1001.526855
-82.112556,100,1003.213562
-92.687814,100,1005.001833
-61.004082,100,1006.607045
